iteration = 53:10000010101010111100011100000011001111000111001010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.905211, P = 1
iteration = 54:10000010101010111100011100000011001111010111001010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.633261, P = 1
iteration = 55:10000010101010111100011100001011001111010111001010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.0703835, P = 1
iteration = 56:10010010101010111100011100001011001111010111001010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.980449, P = 1
iteration = 57:10010010100010111100011100001011001111010111001010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.01985, P = 1
iteration = 58:10010110100010111100011100001011001111010111001010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.104442, P = 1
iteration = 59:10000110100010111100011100001011001111010111001010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.529627, P = 1
iteration = 60:10000110100010111100011100001011001111010111000010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.348849, P = 1
iteration = 61:10000110110010111100011100001011001111010111000010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.856439, P = 1
iteration = 62:10000110100010111100011100001011001111010111000010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.493559, P = 1
iteration = 63:10000110100010111100001100001011001111010111000010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.0641802, P = 1
iteration = 64:10100110100010111100001100001011001111010111000010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.70338, P = 1
iteration = 65:10100110100010111100001000001011001111010111000010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.387938, P = 1
iteration = 66:10100110100010111100001000001011001110010111000010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.359454, P = 1
iteration = 67:10100110101010111100001000001011001110010111000010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.889638, P = 1
iteration = 68:10100110101010111100001000001011000110010111000010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.651633, P = 1
iteration = 69:10100110101010111100001000001011000111010111000010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.947444, P = 1
iteration = 70:10100110101010111100001000001011000111011111000010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.0429275, P = 1
iteration = 71:10100110101010111100001000001011100111011111000010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.845431, P = 1
iteration = 72:10100010101010111100001000001011100111011111000010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.108499, P = 1
iteration = 73:10100010101010011100001000001011100111011111000010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.460166, P = 1
iteration = 74:10100010101010011100001000001011100111011110000010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.477173, P = 1
iteration = 75:10100010101010011100001000101011100111011110000010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.474855, P = 1
iteration = 76:10100010101010011100001000101011100111011100000010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.831623, P = 1
iteration = 77:10100010101010011100001000101010100111011100000010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.636933, P = 1
iteration = 78:10100010101010011100001000111010100111011100000010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.18613, P = 1
iteration = 79:10100011101010011100001000111010100111011100000010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.594513, P = 1
iteration = 80:10100011101010011100011000111010100111011100000010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.983834, P = 1
iteration = 81:10100111101010011100011000111010100111011100000010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.914712, P = 1
iteration = 82:10100111101010011100011001111010100111011100000010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.326547, P = 1
iteration = 83:10100101101010011100011001111010100111011100000010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.707711, P = 1
iteration = 84:10100101101010011100011001111010100111010100000010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.599199, P = 1
iteration = 85:10100101101010011100011001111010100011010100000010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.263074, P = 1
iteration = 86:10100101101000011100011001111010100011010100000010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.672983, P = 1
iteration = 87:10100101101000011100011001110010100011010100000010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.665504, P = 1
iteration = 88:10100101111000011100011001110010100011010100000010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.973785, P = 1
iteration = 89:10100101111000011100011001110011100011010100000010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.994424, P = 1
iteration = 90:10100101111000111100011001110011100011010100000010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.115462, P = 1
iteration = 91:10100101111000111100011001110011100011010100010010, f(current_state) = -2147483648, rand()/RAND_MAX = 0.27698, P = 1
iteration = 92:10100101111000111100011001110011100011010100010110, f(current_state) = -2147483648, rand()/RAND_MAX = 0.800572, P = 1
iteration = 93:10100101111001111100011001110011100011010100010110, f(current_state) = -2147483648, rand()/RAND_MAX = 0.272266, P = 1
iteration = 94:10100101111001111100011001110010100011010100010110, f(current_state) = -2147483648, rand()/RAND_MAX = 0.615025, P = 1
iteration = 95:10100111111001111100011001110010100011010100010110, f(current_state) = -2147483648, rand()/RAND_MAX = 0.876213, P = 1
iteration = 96:10100011111001111100011001110010100011010100010110, f(current_state) = -2147483648, rand()/RAND_MAX = 0.849231, P = 1
iteration = 97:10100011111001101100011001110010100011010100010110, f(current_state) = -2147483648, rand()/RAND_MAX = 0.942148, P = 1
iteration = 98:10100011111001101100011001110010101011010100010110, f(current_state) = -2147483648, rand()/RAND_MAX = 0.595275, P = 1
iteration = 99:10100011111001101100011001110010101011010101010110, f(current_state) = -2147483648, rand()/RAND_MAX = 0.153957, P = 1
iteration = 100:10100011111001101100111001110010101011010101010110, f(current_state) = -2147483648, rand()/RAND_MAX = 0.305014, P = 1
iteration = 101:10100011101001101100111001110010101011010101010110, f(current_state) = -2147483648, rand()/RAND_MAX = 0.836602, P = 1
iteration = 102:10100011101001101100111001110010101011010101010100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.525536, P = 1
iteration = 103:10000011101001101100111001110010101011010101010100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.75948, P = 1
iteration = 104:10000011101001101100111001110010111011010101010100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.627775, P = 1
iteration = 105:10000011101001001100111001110010111011010101010100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.950279, P = 1
iteration = 106:10000011101001001100111001110010111011010100010100, f(current_state) = -2147483648, rand()/RAND_MAX = 0.223183, P = 1
